Date,Région,Maladie,Sexe,Tranche_d_âge,Nombre_de_cas
2024-02-15,Goma,COVID-19,Masculin,18-35,3
2024-02-15,Lubumbashi,Rougeole,Féminin,0-5,11
2024-02-15,Kinshasa,Rougeole,Masculin,60+,10
2024-02-15,Goma,COVID-19,Masculin,18-35,17
2024-02-15,Goma,Paludisme,Masculin,60+,14
2024-02-15,Lubumbashi,Choléra,Féminin,60+,6
2024-02-15,Mbuji-Mayi,Paludisme,Féminin,18-35,18
2024-02-15,Kinshasa,COVID-19,Féminin,60+,16
2024-02-15,Goma,COVID-19,Féminin,60+,20
2024-02-15,Kisangani,COVID-19,Féminin,18-35,9
2024-02-16,Kinshasa,COVID-19,Masculin,60+,18
2024-02-16,Goma,Rougeole,Masculin,0-5,2
2024-02-16,Lubumbashi,Paludisme,Féminin,6-17,7
2024-02-16,Lubumbashi,Paludisme,Masculin,18-35,1
2024-02-16,Goma,COVID-19,Féminin,0-5,10
2024-02-16,Lubumbashi,Choléra,Masculin,6-17,10
2024-02-17,Lubumbashi,Rougeole,Masculin,18-35,4
2024-02-17,Mbuji-Mayi,Choléra,Féminin,36-60,4
2024-02-17,Kinshasa,Paludisme,Féminin,0-5,6
2024-02-17,Mbuji-Mayi,Rougeole,Féminin,18-35,7
2024-02-17,Mbuji-Mayi,Choléra,Féminin,18-35,19
2024-02-17,Lubumbashi,Paludisme,Féminin,18-35,6
2024-02-18,Mbuji-Mayi,Tuberculose,Masculin,0-5,6
2024-02-18,Kisangani,Tuberculose,Féminin,6-17,12
2024-02-18,Lubumbashi,COVID-19,Féminin,18-35,9
2024-02-18,Kinshasa,Tuberculose,Masculin,18-35,20
2024-02-18,Lubumbashi,Rougeole,Masculin,6-17,18
2024-02-18,Kisangani,Choléra,Masculin,36-60,4
2024-02-18,Goma,Tuberculose,Féminin,6-17,4
2024-02-18,Goma,COVID-19,Masculin,0-5,9
2024-02-18,Lubumbashi,Rougeole,Masculin,18-35,4
2024-02-18,Lubumbashi,Rougeole,Féminin,36-60,2
2024-02-19,Kinshasa,Tuberculose,Féminin,0-5,8
2024-02-19,Mbuji-Mayi,Rougeole,Masculin,0-5,2
2024-02-19,Goma,Paludisme,Masculin,0-5,6
2024-02-19,Lubumbashi,Tuberculose,Féminin,60+,1
2024-02-19,Kisangani,Choléra,Féminin,6-17,7
2024-02-19,Mbuji-Mayi,COVID-19,Féminin,60+,15
2024-02-19,Kisangani,Tuberculose,Féminin,0-5,4
2024-02-19,Kisangani,Paludisme,Masculin,36-60,12
2024-02-19,Lubumbashi,Rougeole,Féminin,6-17,19
2024-02-19,Kinshasa,Choléra,Féminin,36-60,18
2024-02-19,Mbuji-Mayi,Tuberculose,Masculin,18-35,2
2024-02-19,Kinshasa,Rougeole,Féminin,0-5,8
2024-02-20,Kinshasa,Choléra,Masculin,36-60,17
2024-02-20,Goma,COVID-19,Féminin,18-35,13
2024-02-20,Goma,COVID-19,Féminin,60+,3
2024-02-20,Kinshasa,Rougeole,Féminin,18-35,5
2024-02-20,Goma,Tuberculose,Féminin,60+,4
2024-02-20,Kinshasa,COVID-19,Masculin,60+,3
2024-02-20,Kisangani,Rougeole,Masculin,6-17,20
2024-02-20,Goma,Choléra,Masculin,36-60,5
2024-02-20,Mbuji-Mayi,Tuberculose,Féminin,6-17,9
2024-02-20,Kisangani,Tuberculose,Masculin,60+,16
2024-02-20,Goma,COVID-19,Féminin,18-35,13
2024-02-20,Kisangani,Choléra,Masculin,36-60,2
2024-02-20,Mbuji-Mayi,Rougeole,Masculin,60+,9
2024-02-20,Mbuji-Mayi,Choléra,Féminin,18-35,16
2024-02-20,Kinshasa,Rougeole,Féminin,36-60,16
2024-02-21,Lubumbashi,Tuberculose,Masculin,6-17,11
2024-02-21,Mbuji-Mayi,COVID-19,Masculin,6-17,4
2024-02-21,Kinshasa,Tuberculose,Masculin,0-5,14
2024-02-21,Lubumbashi,Paludisme,Féminin,36-60,20
2024-02-21,Kinshasa,Tuberculose,Masculin,0-5,12
2024-02-21,Kisangani,Paludisme,Féminin,18-35,6
2024-02-21,Goma,Rougeole,Masculin,60+,10
2024-02-21,Kinshasa,Choléra,Masculin,18-35,5
2024-02-21,Mbuji-Mayi,Rougeole,Masculin,0-5,7
2024-02-21,Goma,Rougeole,Féminin,6-17,5
2024-02-21,Kisangani,Paludisme,Masculin,0-5,12
2024-02-21,Kisangani,Choléra,Masculin,6-17,11
2024-02-21,Mbuji-Mayi,Rougeole,Masculin,0-5,16
2024-02-21,Kinshasa,COVID-19,Féminin,36-60,20
2024-02-22,Goma,Choléra,Féminin,18-35,4
2024-02-22,Kisangani,Paludisme,Féminin,6-17,18
2024-02-22,Mbuji-Mayi,Tuberculose,Féminin,0-5,15
2024-02-22,Kinshasa,Rougeole,Masculin,60+,8
2024-02-22,Mbuji-Mayi,Choléra,Masculin,6-17,18
2024-02-23,Kinshasa,Choléra,Féminin,6-17,4
2024-02-23,Mbuji-Mayi,COVID-19,Féminin,18-35,17
2024-02-23,Kinshasa,Paludisme,Masculin,6-17,2
2024-02-23,Lubumbashi,Tuberculose,Féminin,60+,11
2024-02-23,Goma,Paludisme,Féminin,18-35,4
2024-02-23,Kinshasa,Paludisme,Masculin,18-35,10
2024-02-23,Kinshasa,Rougeole,Masculin,18-35,20
2024-02-23,Mbuji-Mayi,Paludisme,Masculin,60+,18
2024-02-23,Lubumbashi,Tuberculose,Masculin,18-35,10
2024-02-23,Kisangani,Paludisme,Masculin,36-60,19
2024-02-23,Kisangani,Tuberculose,Féminin,60+,2
2024-02-24,Kinshasa,Tuberculose,Masculin,60+,3
2024-02-24,Goma,COVID-19,Féminin,60+,18
2024-02-24,Lubumbashi,Paludisme,Féminin,18-35,18
2024-02-24,Lubumbashi,COVID-19,Féminin,18-35,16
2024-02-24,Kinshasa,Tuberculose,Féminin,36-60,19
2024-02-24,Lubumbashi,Paludisme,Féminin,18-35,20
2024-02-24,Mbuji-Mayi,Rougeole,Féminin,36-60,19
2024-02-24,Kinshasa,COVID-19,Masculin,60+,11
2024-02-24,Kisangani,Choléra,Masculin,18-35,12
2024-02-24,Goma,COVID-19,Féminin,18-35,16
2024-02-24,Goma,Choléra,Masculin,0-5,3
2024-02-25,Kinshasa,COVID-19,Masculin,0-5,5
2024-02-25,Mbuji-Mayi,Tuberculose,Féminin,6-17,11
2024-02-25,Goma,Choléra,Masculin,60+,5
2024-02-25,Lubumbashi,Tuberculose,Masculin,36-60,4
2024-02-25,Goma,Paludisme,Féminin,6-17,13
2024-02-25,Kinshasa,COVID-19,Masculin,18-35,5
2024-02-25,Kinshasa,Paludisme,Féminin,18-35,11
2024-02-26,Lubumbashi,Paludisme,Féminin,18-35,17
2024-02-26,Goma,Paludisme,Masculin,60+,20
2024-02-26,Lubumbashi,Rougeole,Masculin,0-5,4
2024-02-26,Kisangani,COVID-19,Féminin,0-5,10
2024-02-26,Kisangani,Choléra,Masculin,6-17,5
2024-02-26,Mbuji-Mayi,COVID-19,Masculin,60+,1
2024-02-26,Goma,Paludisme,Féminin,36-60,16
2024-02-26,Lubumbashi,COVID-19,Masculin,6-17,9
2024-02-26,Lubumbashi,Choléra,Féminin,18-35,6
2024-02-26,Kisangani,Paludisme,Masculin,18-35,6
2024-02-26,Kinshasa,COVID-19,Masculin,0-5,7
2024-02-26,Lubumbashi,COVID-19,Féminin,60+,12
2024-02-26,Kinshasa,Rougeole,Féminin,6-17,14
2024-02-26,Kisangani,Paludisme,Masculin,60+,4
2024-02-27,Goma,Paludisme,Masculin,0-5,19
2024-02-27,Kisangani,Rougeole,Masculin,18-35,16
2024-02-27,Mbuji-Mayi,Tuberculose,Masculin,18-35,8
2024-02-27,Goma,Choléra,Féminin,6-17,10
2024-02-27,Kisangani,Choléra,Féminin,60+,2
2024-02-27,Kisangani,Tuberculose,Masculin,36-60,5
2024-02-28,Kisangani,Choléra,Féminin,18-35,6
2024-02-28,Kisangani,Choléra,Féminin,60+,1
2024-02-28,Kisangani,Choléra,Féminin,18-35,13
2024-02-28,Mbuji-Mayi,COVID-19,Féminin,6-17,17
2024-02-28,Goma,Paludisme,Féminin,18-35,8
2024-02-28,Lubumbashi,COVID-19,Masculin,60+,5
2024-02-28,Lubumbashi,Paludisme,Féminin,36-60,9
2024-02-28,Lubumbashi,Tuberculose,Masculin,6-17,3
2024-02-28,Kisangani,Paludisme,Féminin,60+,4
2024-02-28,Lubumbashi,Tuberculose,Masculin,18-35,6
2024-02-28,Lubumbashi,Tuberculose,Féminin,60+,19
2024-02-28,Kinshasa,Paludisme,Féminin,36-60,6
2024-02-29,Goma,COVID-19,Féminin,36-60,2
2024-02-29,Mbuji-Mayi,Paludisme,Masculin,60+,19
2024-02-29,Mbuji-Mayi,Paludisme,Féminin,18-35,5
2024-02-29,Kinshasa,Rougeole,Féminin,0-5,17
2024-02-29,Lubumbashi,Choléra,Masculin,0-5,13
2024-02-29,Mbuji-Mayi,Paludisme,Féminin,60+,15
2024-02-29,Kinshasa,Tuberculose,Féminin,18-35,10
2024-02-29,Goma,COVID-19,Masculin,6-17,19
2024-02-29,Goma,COVID-19,Féminin,6-17,15
2024-03-01,Kinshasa,COVID-19,Masculin,0-5,14
2024-03-01,Mbuji-Mayi,Paludisme,Masculin,6-17,2
2024-03-01,Kinshasa,COVID-19,Masculin,60+,4
2024-03-01,Goma,COVID-19,Masculin,60+,7
2024-03-01,Kinshasa,Choléra,Masculin,18-35,19
2024-03-01,Kisangani,Rougeole,Masculin,6-17,2
2024-03-01,Kinshasa,COVID-19,Masculin,6-17,20
2024-03-01,Goma,Choléra,Féminin,18-35,7
2024-03-01,Lubumbashi,Choléra,Féminin,0-5,5
2024-03-01,Mbuji-Mayi,Paludisme,Féminin,0-5,20
2024-03-02,Goma,Choléra,Masculin,60+,13
2024-03-02,Mbuji-Mayi,COVID-19,Masculin,0-5,5
2024-03-02,Mbuji-Mayi,Paludisme,Masculin,6-17,16
2024-03-02,Lubumbashi,Paludisme,Masculin,60+,17
2024-03-02,Kinshasa,Tuberculose,Féminin,60+,8
2024-03-02,Goma,Choléra,Masculin,18-35,20
2024-03-02,Goma,COVID-19,Masculin,0-5,9
2024-03-02,Goma,Rougeole,Féminin,36-60,20
2024-03-02,Goma,Tuberculose,Féminin,18-35,17
2024-03-02,Mbuji-Mayi,Paludisme,Féminin,60+,2
2024-03-02,Lubumbashi,Paludisme,Masculin,6-17,4
2024-03-02,Mbuji-Mayi,Tuberculose,Féminin,18-35,2
2024-03-02,Kisangani,Rougeole,Féminin,0-5,3
2024-03-02,Lubumbashi,Rougeole,Masculin,60+,6
2024-03-03,Mbuji-Mayi,COVID-19,Féminin,36-60,6
2024-03-03,Goma,Tuberculose,Féminin,6-17,3
2024-03-03,Kisangani,Tuberculose,Masculin,36-60,20
2024-03-03,Lubumbashi,Tuberculose,Féminin,18-35,10
2024-03-03,Lubumbashi,Paludisme,Masculin,0-5,11
2024-03-03,Lubumbashi,Rougeole,Féminin,60+,20
2024-03-03,Goma,Paludisme,Féminin,6-17,6
2024-03-03,Lubumbashi,Paludisme,Féminin,36-60,19
2024-03-03,Mbuji-Mayi,Rougeole,Masculin,6-17,19
2024-03-04,Mbuji-Mayi,Rougeole,Masculin,0-5,12
2024-03-04,Kisangani,Choléra,Masculin,18-35,12
2024-03-04,Lubumbashi,COVID-19,Masculin,6-17,7
2024-03-04,Mbuji-Mayi,Tuberculose,Masculin,0-5,16
2024-03-04,Mbuji-Mayi,Tuberculose,Féminin,36-60,10
2024-03-04,Kinshasa,COVID-19,Masculin,0-5,14
2024-03-04,Kinshasa,Tuberculose,Masculin,36-60,2
2024-03-05,Kisangani,Choléra,Féminin,6-17,4
2024-03-05,Kisangani,COVID-19,Masculin,60+,4
2024-03-05,Kisangani,Paludisme,Féminin,18-35,10
2024-03-05,Kinshasa,Tuberculose,Masculin,6-17,11
2024-03-05,Kisangani,Rougeole,Féminin,18-35,10
2024-03-05,Goma,Choléra,Féminin,36-60,11
2024-03-05,Kisangani,Choléra,Masculin,36-60,20
2024-03-05,Goma,Choléra,Féminin,60+,13
2024-03-05,Kisangani,Tuberculose,Féminin,60+,6
2024-03-06,Mbuji-Mayi,COVID-19,Masculin,60+,15
2024-03-06,Mbuji-Mayi,Choléra,Féminin,6-17,19
2024-03-06,Kinshasa,Tuberculose,Féminin,18-35,6
2024-03-06,Mbuji-Mayi,COVID-19,Féminin,36-60,16
2024-03-06,Mbuji-Mayi,Rougeole,Féminin,60+,10
2024-03-06,Lubumbashi,COVID-19,Féminin,6-17,15
2024-03-06,Kinshasa,Rougeole,Masculin,60+,5
2024-03-06,Goma,Choléra,Féminin,18-35,7
2024-03-06,Lubumbashi,Tuberculose,Féminin,0-5,5
2024-03-06,Lubumbashi,Rougeole,Masculin,60+,11
2024-03-06,Kinshasa,Choléra,Féminin,6-17,4
2024-03-06,Kinshasa,Paludisme,Féminin,6-17,1
2024-03-06,Goma,Paludisme,Masculin,6-17,9
2024-03-07,Mbuji-Mayi,Rougeole,Masculin,36-60,20
2024-03-07,Mbuji-Mayi,Tuberculose,Masculin,18-35,12
2024-03-07,Lubumbashi,Paludisme,Masculin,6-17,17
2024-03-07,Lubumbashi,Tuberculose,Masculin,36-60,2
2024-03-07,Lubumbashi,COVID-19,Masculin,36-60,12
2024-03-07,Mbuji-Mayi,Tuberculose,Masculin,6-17,1
2024-03-07,Lubumbashi,Tuberculose,Masculin,18-35,3
2024-03-07,Mbuji-Mayi,Tuberculose,Féminin,0-5,5
2024-03-07,Lubumbashi,Choléra,Masculin,6-17,13
2024-03-07,Lubumbashi,Tuberculose,Féminin,60+,4
2024-03-07,Kinshasa,Choléra,Masculin,0-5,12
2024-03-07,Goma,Paludisme,Masculin,60+,16
2024-03-07,Mbuji-Mayi,COVID-19,Masculin,36-60,1
2024-03-07,Mbuji-Mayi,Paludisme,Féminin,6-17,5
2024-03-07,Kisangani,Tuberculose,Masculin,0-5,6
2024-03-08,Mbuji-Mayi,COVID-19,Masculin,60+,2
2024-03-08,Mbuji-Mayi,COVID-19,Masculin,0-5,1
2024-03-08,Lubumbashi,Tuberculose,Féminin,18-35,4
2024-03-08,Kisangani,Paludisme,Masculin,6-17,13
2024-03-08,Mbuji-Mayi,Paludisme,Masculin,36-60,7
2024-03-08,Mbuji-Mayi,COVID-19,Féminin,60+,4
2024-03-08,Kinshasa,Rougeole,Masculin,6-17,18
2024-03-09,Mbuji-Mayi,Paludisme,Masculin,0-5,9
2024-03-09,Goma,Choléra,Féminin,60+,14
2024-03-09,Mbuji-Mayi,Tuberculose,Masculin,6-17,6
2024-03-09,Kisangani,Rougeole,Masculin,18-35,5
2024-03-09,Kisangani,Choléra,Féminin,18-35,12
2024-03-09,Kisangani,Rougeole,Masculin,60+,9
2024-03-09,Mbuji-Mayi,Rougeole,Masculin,0-5,19
2024-03-09,Lubumbashi,COVID-19,Féminin,36-60,2
2024-03-09,Goma,COVID-19,Féminin,60+,19
2024-03-10,Lubumbashi,Tuberculose,Masculin,60+,14
2024-03-10,Kinshasa,Choléra,Féminin,0-5,17
2024-03-10,Goma,Paludisme,Masculin,18-35,20
2024-03-10,Lubumbashi,Paludisme,Masculin,0-5,7
2024-03-10,Kinshasa,Tuberculose,Masculin,6-17,2
2024-03-11,Kinshasa,Rougeole,Féminin,36-60,14
2024-03-11,Mbuji-Mayi,Choléra,Masculin,6-17,5
2024-03-11,Kisangani,Choléra,Féminin,18-35,3
2024-03-11,Mbuji-Mayi,Rougeole,Féminin,36-60,6
2024-03-11,Kinshasa,Rougeole,Masculin,36-60,5
2024-03-11,Goma,Tuberculose,Féminin,18-35,19
2024-03-12,Goma,Paludisme,Masculin,60+,20
2024-03-12,Goma,Rougeole,Masculin,6-17,6
2024-03-12,Goma,Rougeole,Féminin,60+,1
2024-03-12,Kisangani,Paludisme,Masculin,6-17,3
2024-03-12,Lubumbashi,COVID-19,Masculin,0-5,17
2024-03-12,Lubumbashi,Paludisme,Masculin,6-17,16
2024-03-12,Kisangani,Choléra,Masculin,36-60,6
2024-03-12,Lubumbashi,Rougeole,Féminin,60+,8
2024-03-12,Goma,Rougeole,Masculin,36-60,3
2024-03-12,Goma,Rougeole,Masculin,36-60,9
2024-03-13,Kinshasa,Rougeole,Masculin,18-35,14
2024-03-13,Lubumbashi,Paludisme,Masculin,0-5,6
2024-03-13,Mbuji-Mayi,Tuberculose,Masculin,60+,4
2024-03-13,Lubumbashi,COVID-19,Féminin,18-35,11
2024-03-13,Kinshasa,Rougeole,Masculin,18-35,20
2024-03-13,Kisangani,Paludisme,Féminin,6-17,1
2024-03-13,Goma,Choléra,Féminin,6-17,6
2024-03-13,Mbuji-Mayi,Tuberculose,Féminin,0-5,6
2024-03-13,Goma,Choléra,Féminin,6-17,19
2024-03-13,Kinshasa,Rougeole,Féminin,18-35,14
2024-03-13,Kinshasa,Choléra,Masculin,0-5,2
2024-03-13,Lubumbashi,Tuberculose,Féminin,18-35,4
2024-03-14,Goma,Tuberculose,Féminin,36-60,11
2024-03-14,Kisangani,COVID-19,Masculin,18-35,3
2024-03-14,Kinshasa,Choléra,Masculin,60+,16
2024-03-14,Kisangani,Tuberculose,Masculin,6-17,2
2024-03-14,Mbuji-Mayi,COVID-19,Masculin,0-5,19
2024-03-14,Goma,Choléra,Masculin,60+,15
2024-03-14,Goma,Tuberculose,Masculin,6-17,19
2024-03-15,Goma,Paludisme,Féminin,60+,18
2024-03-15,Kinshasa,COVID-19,Féminin,36-60,1
2024-03-15,Goma,Rougeole,Masculin,0-5,15
2024-03-15,Kisangani,Choléra,Masculin,6-17,12
2024-03-15,Kisangani,COVID-19,Féminin,18-35,9
2024-03-15,Lubumbashi,Choléra,Masculin,36-60,17
2024-03-15,Kinshasa,Paludisme,Féminin,6-17,7
2024-03-15,Lubumbashi,Paludisme,Masculin,60+,7
2024-03-15,Kinshasa,Tuberculose,Masculin,0-5,9
2024-03-15,Mbuji-Mayi,Rougeole,Féminin,18-35,13
2024-03-15,Kinshasa,Tuberculose,Féminin,18-35,7
2024-03-15,Kinshasa,Tuberculose,Masculin,6-17,9
2024-03-15,Kinshasa,COVID-19,Masculin,60+,5
2024-03-16,Lubumbashi,Rougeole,Masculin,18-35,7
2024-03-16,Kisangani,COVID-19,Féminin,0-5,8
2024-03-16,Kinshasa,Tuberculose,Féminin,36-60,3
2024-03-16,Goma,COVID-19,Masculin,60+,3
2024-03-16,Mbuji-Mayi,Paludisme,Masculin,6-17,1
2024-03-16,Mbuji-Mayi,Choléra,Masculin,36-60,4
2024-03-16,Mbuji-Mayi,Choléra,Féminin,18-35,16
2024-03-16,Goma,Choléra,Masculin,0-5,5
2024-03-16,Mbuji-Mayi,Choléra,Masculin,18-35,4
2024-03-16,Lubumbashi,Rougeole,Féminin,60+,8
2024-03-16,Kinshasa,Paludisme,Féminin,6-17,13
2024-03-16,Kinshasa,Paludisme,Féminin,36-60,1
2024-03-16,Lubumbashi,COVID-19,Féminin,6-17,14
2024-03-16,Goma,Tuberculose,Féminin,18-35,17
2024-03-17,Goma,COVID-19,Masculin,18-35,13
2024-03-17,Lubumbashi,Choléra,Masculin,60+,10
2024-03-17,Lubumbashi,Choléra,Masculin,60+,13
2024-03-17,Kisangani,Choléra,Féminin,6-17,20
2024-03-17,Lubumbashi,Choléra,Féminin,0-5,19
2024-03-17,Mbuji-Mayi,Paludisme,Féminin,60+,7
2024-03-17,Kinshasa,Paludisme,Masculin,6-17,18
2024-03-17,Goma,Tuberculose,Masculin,36-60,10
2024-03-17,Mbuji-Mayi,COVID-19,Féminin,0-5,1
2024-03-17,Lubumbashi,COVID-19,Féminin,36-60,20
2024-03-17,Kisangani,COVID-19,Féminin,0-5,7
2024-03-17,Goma,Paludisme,Féminin,0-5,20
2024-03-17,Goma,COVID-19,Féminin,6-17,2
2024-03-17,Lubumbashi,Paludisme,Féminin,60+,12
2024-03-18,Goma,Paludisme,Masculin,36-60,11
2024-03-18,Lubumbashi,Paludisme,Féminin,6-17,9
2024-03-18,Goma,Rougeole,Féminin,6-17,9
2024-03-18,Lubumbashi,Tuberculose,Masculin,36-60,9
2024-03-18,Lubumbashi,Rougeole,Féminin,60+,10
2024-03-18,Goma,Tuberculose,Masculin,60+,16
2024-03-19,Kisangani,Paludisme,Masculin,18-35,6
2024-03-19,Kinshasa,COVID-19,Féminin,36-60,14
2024-03-19,Mbuji-Mayi,Tuberculose,Féminin,18-35,14
2024-03-19,Kinshasa,Tuberculose,Masculin,6-17,3
2024-03-19,Lubumbashi,Tuberculose,Masculin,6-17,13
2024-03-19,Mbuji-Mayi,Paludisme,Féminin,18-35,16
2024-03-19,Kisangani,Rougeole,Féminin,6-17,9
2024-03-19,Kisangani,COVID-19,Masculin,60+,6
2024-03-19,Kisangani,Paludisme,Masculin,36-60,15
2024-03-19,Mbuji-Mayi,Choléra,Masculin,0-5,3
2024-03-19,Mbuji-Mayi,Choléra,Féminin,60+,3
2024-03-19,Lubumbashi,Rougeole,Masculin,18-35,18
2024-03-20,Lubumbashi,COVID-19,Féminin,36-60,8
2024-03-20,Kinshasa,Choléra,Féminin,18-35,8
2024-03-20,Kinshasa,Paludisme,Féminin,60+,4
2024-03-20,Goma,COVID-19,Féminin,36-60,1
2024-03-20,Goma,Rougeole,Masculin,60+,20
2024-03-20,Goma,Paludisme,Masculin,60+,2
2024-03-20,Kisangani,Rougeole,Féminin,6-17,5
2024-03-20,Goma,Choléra,Masculin,18-35,5
2024-03-20,Lubumbashi,Rougeole,Féminin,18-35,2
2024-03-21,Mbuji-Mayi,Paludisme,Féminin,6-17,10
2024-03-21,Goma,Choléra,Masculin,60+,17
2024-03-21,Kinshasa,COVID-19,Masculin,18-35,17
2024-03-21,Mbuji-Mayi,Paludisme,Féminin,18-35,2
2024-03-21,Goma,COVID-19,Féminin,6-17,14
2024-03-21,Lubumbashi,Tuberculose,Masculin,36-60,16
2024-03-21,Mbuji-Mayi,Choléra,Féminin,18-35,8
2024-03-21,Kinshasa,Rougeole,Masculin,18-35,8
2024-03-21,Kisangani,Choléra,Féminin,6-17,4
2024-03-21,Kinshasa,Paludisme,Masculin,60+,12
2024-03-21,Kinshasa,Rougeole,Féminin,60+,20
2024-03-21,Goma,Paludisme,Masculin,60+,8
2024-03-21,Kisangani,Choléra,Masculin,60+,7
2024-03-21,Kisangani,Choléra,Masculin,6-17,14
2024-03-21,Lubumbashi,COVID-19,Masculin,36-60,12
2024-03-22,Mbuji-Mayi,Rougeole,Masculin,0-5,9
2024-03-22,Kinshasa,COVID-19,Masculin,60+,11
2024-03-22,Mbuji-Mayi,COVID-19,Féminin,18-35,19
2024-03-22,Goma,Tuberculose,Féminin,60+,17
2024-03-22,Goma,COVID-19,Féminin,36-60,15
2024-03-22,Kisangani,Paludisme,Féminin,18-35,16
2024-03-22,Mbuji-Mayi,Tuberculose,Masculin,36-60,7
2024-03-22,Kisangani,Tuberculose,Masculin,60+,3
2024-03-22,Kisangani,Choléra,Masculin,6-17,5
2024-03-23,Kisangani,Tuberculose,Féminin,18-35,16
2024-03-23,Kisangani,Paludisme,Féminin,36-60,14
2024-03-23,Kisangani,Choléra,Masculin,36-60,18
2024-03-23,Lubumbashi,Paludisme,Féminin,36-60,1
2024-03-23,Kisangani,Paludisme,Féminin,0-5,17
2024-03-23,Mbuji-Mayi,COVID-19,Masculin,36-60,15
2024-03-23,Mbuji-Mayi,Rougeole,Masculin,60+,10
2024-03-23,Lubumbashi,COVID-19,Masculin,36-60,14
2024-03-24,Lubumbashi,Rougeole,Masculin,6-17,13
2024-03-24,Kinshasa,Choléra,Féminin,0-5,11
2024-03-24,Lubumbashi,Tuberculose,Féminin,36-60,4
2024-03-24,Lubumbashi,Rougeole,Féminin,6-17,15
2024-03-24,Goma,COVID-19,Féminin,6-17,6
2024-03-24,Kinshasa,Tuberculose,Masculin,0-5,6
2024-03-24,Lubumbashi,Tuberculose,Féminin,36-60,10
2024-03-24,Mbuji-Mayi,COVID-19,Féminin,18-35,13
2024-03-24,Mbuji-Mayi,Tuberculose,Masculin,0-5,10
2024-03-24,Lubumbashi,Paludisme,Féminin,0-5,4
2024-03-24,Kinshasa,COVID-19,Féminin,60+,19
2024-03-24,Lubumbashi,Choléra,Masculin,0-5,18
2024-03-24,Mbuji-Mayi,Choléra,Féminin,60+,17
2024-03-24,Mbuji-Mayi,Choléra,Féminin,60+,19
2024-03-24,Kinshasa,Choléra,Féminin,60+,12
2024-03-25,Goma,Rougeole,Féminin,18-35,14
2024-03-25,Kisangani,Tuberculose,Masculin,36-60,17
2024-03-25,Kinshasa,COVID-19,Féminin,60+,2
2024-03-25,Kisangani,Rougeole,Masculin,18-35,15
2024-03-25,Kisangani,Paludisme,Masculin,36-60,5
2024-03-26,Lubumbashi,Rougeole,Féminin,0-5,15
2024-03-26,Kisangani,Rougeole,Masculin,0-5,15
2024-03-26,Goma,Tuberculose,Féminin,60+,9
2024-03-26,Kisangani,Tuberculose,Féminin,36-60,16
2024-03-26,Mbuji-Mayi,Choléra,Masculin,36-60,16
2024-03-26,Kinshasa,COVID-19,Féminin,6-17,4
2024-03-26,Mbuji-Mayi,COVID-19,Féminin,18-35,15
2024-03-27,Kinshasa,Rougeole,Féminin,0-5,5
2024-03-27,Mbuji-Mayi,Tuberculose,Masculin,18-35,2
2024-03-27,Lubumbashi,Rougeole,Masculin,36-60,8
2024-03-27,Kinshasa,Paludisme,Féminin,60+,20
2024-03-27,Kisangani,Choléra,Masculin,36-60,2
2024-03-27,Goma,Tuberculose,Féminin,6-17,3
2024-03-27,Mbuji-Mayi,COVID-19,Féminin,6-17,6
2024-03-27,Lubumbashi,Choléra,Masculin,60+,6
2024-03-27,Lubumbashi,Paludisme,Féminin,6-17,18
2024-03-27,Lubumbashi,COVID-19,Féminin,18-35,4
2024-03-27,Mbuji-Mayi,Choléra,Masculin,18-35,16
2024-03-27,Mbuji-Mayi,Paludisme,Féminin,0-5,9
2024-03-28,Lubumbashi,COVID-19,Masculin,18-35,6
2024-03-28,Kinshasa,Paludisme,Masculin,60+,16
2024-03-28,Kinshasa,Choléra,Masculin,18-35,2
2024-03-28,Kinshasa,Tuberculose,Masculin,6-17,18
2024-03-28,Lubumbashi,Rougeole,Masculin,18-35,12
2024-03-28,Mbuji-Mayi,COVID-19,Masculin,36-60,2
2024-03-29,Kinshasa,Rougeole,Masculin,36-60,18
2024-03-29,Mbuji-Mayi,Rougeole,Féminin,36-60,4
2024-03-29,Lubumbashi,Choléra,Féminin,18-35,18
2024-03-29,Kinshasa,Choléra,Féminin,0-5,19
2024-03-29,Mbuji-Mayi,Rougeole,Féminin,60+,10
2024-03-29,Goma,Choléra,Féminin,18-35,10
2024-03-29,Kinshasa,Choléra,Masculin,18-35,13
2024-03-29,Mbuji-Mayi,Rougeole,Masculin,60+,2
2024-03-30,Kisangani,COVID-19,Masculin,0-5,1
2024-03-30,Mbuji-Mayi,Paludisme,Masculin,18-35,20
2024-03-30,Mbuji-Mayi,Tuberculose,Féminin,36-60,8
2024-03-30,Mbuji-Mayi,Rougeole,Masculin,60+,14
2024-03-30,Mbuji-Mayi,Paludisme,Féminin,6-17,18
2024-03-31,Kisangani,Choléra,Féminin,6-17,10
2024-03-31,Mbuji-Mayi,Choléra,Féminin,60+,12
2024-03-31,Goma,Paludisme,Féminin,36-60,3
2024-03-31,Kisangani,Tuberculose,Masculin,18-35,12
2024-03-31,Lubumbashi,Choléra,Masculin,60+,10
2024-03-31,Kisangani,Rougeole,Féminin,6-17,12
2024-03-31,Lubumbashi,Paludisme,Féminin,6-17,1
2024-03-31,Lubumbashi,Choléra,Masculin,60+,7
2024-03-31,Lubumbashi,Rougeole,Féminin,0-5,7
2024-03-31,Kinshasa,Rougeole,Féminin,18-35,13
